2021/02/27 00:35:30 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:35:30 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:35:32 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:35:32 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:35:33 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:35:33 [error] 9#9: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:37:27 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:28 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:37:29 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:29 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:37:29 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:29 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:37:30 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:30 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:30 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.19.0.2:3000/", host: "localhost:8080"
2021/02/27 00:37:31 [error] 9#9: *8 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.19.0.2:3000/favicon.ico", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:38:06 [warn] 9#9: *41 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.19.0.1, server: , request: "GET /_nuxt/commons/app.js HTTP/1.1", upstream: "http://172.19.0.2:3000/_nuxt/commons/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:38:06 [warn] 9#9: *42 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.19.0.1, server: , request: "GET /_nuxt/vendors/app.js HTTP/1.1", upstream: "http://172.19.0.2:3000/_nuxt/vendors/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:39:07 [error] 9#9: *43 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:40:10 [error] 9#9: *41 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:41:13 [error] 9#9: *55 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:42:16 [error] 9#9: *57 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:43:19 [error] 9#9: *59 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:44:22 [error] 9#9: *61 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:46:30 [error] 8#8: *1 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:47:33 [error] 8#8: *5 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:48:36 [error] 8#8: *8 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:49:39 [error] 8#8: *10 upstream timed out (110: Operation timed out) while reading upstream, client: 172.19.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.19.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:50:40 [error] 7#7: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:51:10 [warn] 7#7: *8 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: , request: "GET / HTTP/1.1", upstream: "http://172.22.0.2:3000/", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:51:10 [warn] 7#7: *16 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/commons/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/commons/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:51:10 [warn] 7#7: *17 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/vendors/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/vendors/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:52:41 [error] 9#9: *1 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:53:44 [error] 9#9: *5 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:54:48 [error] 9#9: *8 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:55:51 [error] 9#9: *10 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:56:54 [error] 9#9: *12 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:57:57 [error] 9#9: *14 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 00:59:00 [error] 9#9: *16 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:00:03 [error] 9#9: *18 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
